Sites,Plots,Lng,Lat,Alt,Temp,RH,pH,Cond,OC,TN,TP,MTC,MTN,MTP,Chl_a,Chl_b,Chl_a:b,Chl_a+b,MDA,TSS,POD,SOD,CAT,Richness,Shannon,Simpson,NMDS1,PC1_diversity,PC1_geospatial,PC1_meteorological,PC1_Water,PC1_substrate,PC1_moss,PC1_photosynthesis,PC1_osmotic,PC1_enzyme
A,1,101.715677,29.748686,4365,35.7,55.1,7.71,595,6.449341046,1.831104026,1.078653572,337.9807547,15.54801164,4.886792426,2.641925,0.83391,3.168117663,3.475835,28.38,23.634,2140,113.7992832,12.5223,4,1.184953357,0.6688,-0.237218474,-0.606964269,1.890667604,-1.917365218,0.699041322,-0.617577145,0.195291047,1.500072103,-2.607852141,-1.356378387
A,2,101.714663,29.74933,4363,37.8,59.9,7.33,674,5.937440458,1.748332342,0.946809392,311.4373684,13.58553275,4.648903736,2.57752,1.17532,2.19303679,3.75284,29.67,30.186,1640,143.6491935,13.4123,3,0.950270539,0.56,-1.266464573,-1.777529908,1.824137936,-2.000854409,-0.159129601,-1.163236084,-1.274586044,0.541563854,-1.58110768,-1.252452287
A,3,101.715667,29.749732,4378,41.5,58.9,6.75,674,5.189512018,1.627316783,0.838035171,293.1083568,12.87118977,4.275735039,2.874185,0.77023,3.73159316,3.644415,24.802,31.356,1400,96.34551495,8.4283,4,1.239020702,0.6888,-1.094390059,-0.419325405,1.88956547,-1.652303564,-1.277263309,-1.777963169,-2.310614883,2.052904009,-0.679948185,-2.601674181
A,4,101.715158,29.750088,4373,42.4,58.8,7.21,678,6.201350357,1.97932089,1.038327233,353.6584434,15.42605289,4.967386386,3.164125,1.42239,2.224512968,4.586515,30.96,27.729,1900,111.2588652,10.7843,4,1.030663115,0.5934,-0.973674393,-1.223917911,1.844294297,-1.575028335,-0.396827132,-0.65357738,0.541945914,0.704493269,-2.215868184,-1.792154068
A,5,101.714469,29.750802,4374,40.4,57.9,6.85,848,6.474319416,1.588082219,0.960058248,261.2928571,11.34413727,3.586712004,2.67449,1.07386,2.490538804,3.74835,25.284,28.548,1480,95.61258278,8.7583,5,1.149451019,0.6066,-0.730072528,-0.690038029,1.796001479,-1.687935164,-1.361120848,-1.095505451,-4.258695417,0.881323131,-1.26568202,-2.50888924
B,1,101.712217,29.750822,4338,59.8,32,7.69,977,10.06087883,2.729762901,1.402470674,385.4065421,18.21251241,5.630330868,3.47459,1.47902,2.349251531,4.95361,25.542,29.601,3540,101.6156463,11.3653,11,2.24601835,0.885,-0.279596524,4.099763519,1.611438155,1.222226666,0.053150623,2.207735835,2.901167166,0.926829772,-1.107804698,-0.767374004
B,2,101.71201,29.751396,4336,60.6,38.6,7.16,1334,8.403218428,2.507916084,1.054500893,337.0325243,14.9439528,4.355533042,3.1742,0.80208,3.957460602,3.97628,19.608,36.089,3800,109.5950704,15.0143,9,1.232547122,0.630128,0.012109728,0.599594543,1.578462577,0.940349685,-1.536179599,0.656148559,-0.662054349,2.353504431,0.924224021,0.01966188
B,3,101.711307,29.751827,4324,56.2,36.8,6.92,1607,8.496414498,2.52531681,1.324624511,312.6783415,13.55058366,4.567427228,2.771435,1.90353,1.455945007,4.674965,20.125,32.643,2780,116.9387755,9.4963,8,1.252111102,0.632488,-0.078552391,0.387476235,1.504294516,0.682520823,-2.432893001,1.293588158,-1.359731495,-0.472993441,0.21589786,-1.379166592
B,4,101.710646,29.751984,4303,58.4,36.1,6.97,1688,12.11936885,3.966269071,1.803172885,342.0232093,15.01915709,4.725308027,2.680815,2.00265,1.33863381,4.683465,21.156,32.76,2660,106.3368056,8.4703,6,1.275624533,0.6418,0.3243615,-0.044845995,1.416874765,0.89529159,-2.465282488,4.969772614,-0.105463199,-0.696905272,0.092318411,-1.709447531
B,5,101.710996,29.75283,4306,59.2,36.9,7.21,1664,9.646793469,3.096703911,1.64197117,326.1857426,14.90234375,4.780539866,3.061465,0.98603,3.104839609,4.047495,28.251,32.877,3040,149.1769547,10.7793,8,1.889408931,0.8318,0.125645372,2.437199036,1.409582635,0.91739383,-1.964449338,2.928056874,-0.378847069,1.587801665,-0.885028925,-0.716494869
C,1,101.707113,29.757794,4216,57,49.6,6.96,592,8.355395699,1.990232651,1.357526047,343.8495122,16.11165524,5.27738012,2.906285,1.63475,1.77781618,4.541035,26.058,30.42,3320,177.8409091,17.7733,8,1.281605286,0.565768,0.542536793,0.144630087,0.847863499,0.075700537,-0.74205159,0.812288099,0.964817423,0.064931178,-1.029407907,0.782224542
C,2,101.706308,29.758945,4207,54.9,49.1,7.36,596,7.126530265,1.679166168,0.958221589,357.2737438,16.89189189,5.430797244,2.901655,1.57073,1.847328949,4.472385,26.574,30.303,3020,182.0276498,14.6583,9,1.342678219,0.6016,0.421126204,0.67378751,0.753250232,-0.066174178,0.022715583,-0.78356621,1.672571595,0.165000824,-1.123635007,0.166061046
C,3,101.70751,29.760607,4179,60.9,56.2,7.06,593,6.513371453,1.566396181,0.887182369,376.6572549,16.59157689,5.421981244,3.135415,1.28741,2.435444031,4.422825,19.255,30.771,3900,241.0714286,17.7733,6,1.523706868,0.7522,0.239430627,0.898968184,0.667545837,0.041941384,-0.550859797,-1.260789035,1.920548392,0.942383011,-0.006860139,1.748080084
C,4,101.705998,29.761639,4153,55.4,50.1,7.94,521,8.966015318,2.177836548,1.478716546,392.8223671,17.41293532,5.183429825,3.56975,1.31358,2.717573349,4.88333,22.188,35.546,2500,133.2364341,11.8103,8,1.718812197,0.7922,-1.294825619,1.949671847,0.503927963,-0.078565383,1.260090331,1.468181823,2.231668935,1.369234533,0.46083446,-1.052334493
