Sites,Plots,(1) D. pusillum,(2) D. brevidens,(3) D. pallidum,(4) D. capillaceum,(5) D. heteromalla ,(6) D. varia,(7) D. drummondii ,(8) D. fragilifolium ,(9) C. aureus,(10) C. flexuosus,(11) A. stracheyanum ,(12) G. aurantiacum ,(13) G. anoectangioide,(14) H. recurvirostrum,(15) G. brevicaulis ,(16) G. yunnanensis,(17) B. kashmirense,(18) B. caespiticium,(19) B. blindii,(20) B. cellulare,(21) B. bornholmense,(22) B. handelii,(23) B. pseudotriquetrum,(24) M. thomsonii,(25) P. rostratum,(26) P. cuspidatum,(27) T. ussuriensis,(28) L. austroalpinum,(29) T. delicatulum,(30) T. cymbifolium,(31) B. molkenboeri,(32) C. filicinum ,(33) D. aduncus,(34)  D. vernicosus,(35) B. populeum,(36) C. cirrosum,(37) S. subpinnatum,(38) S. subhumile,(39) B. erythrocaulis,(40) H. oldhamii,(41) H. hamulosum
A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.36,0,0.4,0.04,0,0,0,0,0,0
A,2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
A,3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.4,0.06,0,0,0,0,0,0
A,4,0,0,0,0.01,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0
A,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.1,0,0.55,0,0,0,0,0,0.03,0
B,6,0,0,0,0,0,0,0.02,0,0,0.04,0.08,0.14,0,0.02,0,0,0.1,0,0,0,0,0,0.08,0,0.1,0,0,0,0,0,0.12,0.17,0,0.13,0,0,0,0,0,0,0
B,7,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.016,0,0,0,0,0,0.45,0,0.4,0.08,0.004,0,0,0,0,0
B,8,0,0,0,0.036,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.02,0.4,0,0.45,0,0.004,0,0,0,0.02,0
B,9,0,0,0,0,0,0.09,0,0,0,0.01,0,0,0,0.16,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.54,0,0.18,0,0,0,0,0,0,0
B,10,0,0,0,0,0.15,0,0.14,0,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.24,0,0,0,0,0,0.02,0.04
